courier_warehouse,active_stuck_shipments,avg_hours_stuck,median_dwell_hours,p90_dwell_hours,priority_category
KHAMMAM,0,0.0,22.82,40.39,Ignore
"DEL/RHN1, NEW DELHI, DELHI",0,0.0,24.32,40.38,Ignore
"DEL/EDL-EHV, DELHI NCR, DELHI",0,0.0,35.69,40.37,Ignore
TRIVANDRUM SERVICE CENTRE,0,0.0,28.5,40.36,Ignore
SHORNUR,0,0.0,16.69,40.36,Ignore
"DEHRADUN, UTTARAKHAND, IN",0,0.0,21.26,40.32,Ignore
JAIPUR - JAI,0,0.0,13.52,40.25,Ignore
BAGODAR,0,0.0,40.22,40.22,Ignore
"BAYANA, BAYANA, RAJASTHAN",0,0.0,26.32,40.17,Ignore
"MEERUT1, MEERUT, UTTAR PRADESH",0,0.0,11.14,40.16,Ignore
"JMU/JMU, JAMMU, JAMMU AND KASHMIR",0,0.0,21.61,40.14,Ignore
"BADHARGHAT, AGARTALA, TRIPURA",0,0.0,19.11,40.13,Ignore
JAIPUR (JAIH),0,0.0,24.36,40.12,Ignore
UDAIPUR HUB,0,0.0,40.09,40.09,Ignore
"AKBARNAGAR, AKBARNAGAR, BIHAR",0,0.0,33.55,40.06,Ignore
BHOKARDAN,0,0.0,40.02,40.02,Ignore
WARUD,0,0.0,27.33,39.97,Ignore
"BHUBANESHWAR, ODISHA, IN",0,0.0,15.48,39.95,Ignore
M I ROAD OFFICE,0,0.0,24.09,39.89,Ignore
CHARKHI DADRI,0,0.0,24.78,39.85,Ignore
"DEL/WZB, DELHI NCR, DELHI",0,0.0,15.38,39.81,Ignore
BODUPPAL,0,0.0,24.71,39.76,Ignore
BHAGALPUR OFFICE,0,0.0,30.73,39.73,Ignore
"BLR/NKH-TML, BANGALORE, KARNATAKA",0,0.0,20.81,39.72,Ignore
TRIMULGHERRY,0,0.0,39.68,39.68,Ignore
"MAROLMH, MUMBAI, MAHARASHTRA",0,0.0,22.63,39.68,Ignore
DHARMAPURI,0,0.0,15.47,39.67,Ignore
"TURA/RST, TURA, MEGHALAYA",0,0.0,19.89,39.63,Ignore
ANJAR,0,0.0,16.65,39.63,Ignore
HANUMANGARH,0,0.0,36.8,39.6,Ignore
JAKHAL MANDI,0,0.0,23.5,39.49,Ignore
"JHANJHARPUR, BIHAR, IN",0,0.0,39.47,39.47,Ignore
SONP,0,0.0,23.32,39.45,Ignore
CHEMBUR E-TAIL CENTRE,0,0.0,22.02,39.39,Ignore
NOIDA HUB,0,0.0,22.47,39.34,Ignore
GAUAIRPORT SERVICE CENTRE,0,0.0,22.13,39.31,Ignore
"PANNA, PANNA, MADHYA PRADESH",0,0.0,25.65,39.24,Ignore
RAJKOT COD CENTRE,0,0.0,25.4,39.23,Ignore
"KHEDBRAHMA, KHEDBRAHMA, GUJARAT",0,0.0,22.1,39.22,Ignore
ANTOP HILL TRUCK TERMINAL,0,0.0,26.21,39.17,Ignore
EMBASSY GOLF LINK,0,0.0,23.77,39.16,Ignore
MARGHERITA,0,0.0,39.11,39.11,Ignore
"BANGALORE, KA, IN",0,0.0,10.12,39.05,Ignore
"LKO/HZG, LUCKNOW, UTTAR PRADESH",0,0.0,24.42,39.05,Ignore
TAHLIWAL,0,0.0,25.83,39.04,Ignore
"SILVASSA, SILVASSA, DADRA NAGAR HAVELI",0,0.0,30.34,39.02,Ignore
NEELAMBUR,0,0.0,23.68,39.01,Ignore
"CAR/KJR, CHANDIGARH, CHANDIGARH",0,0.0,27.05,38.98,Ignore
MANMAD,0,0.0,23.67,38.96,Ignore
"MURNAD1, MURNAD, KARNATAKA",0,0.0,14.1,38.94,Ignore
BIRPARA,0,0.0,14.25,38.94,Ignore
"RSC/FARRUKHABAD, FARRUKHABAD, UTTAR PRADESH",0,0.0,30.01,38.94,Ignore
RUNNI SAIDPUR,0,0.0,23.82,38.93,Ignore
NATHDWARA,0,0.0,38.92,38.92,Ignore
JADCHERALA,0,0.0,28.29,38.91,Ignore
VAPM,0,0.0,26.1,38.89,Ignore
PURNIA,0,0.0,11.65,38.81,Ignore
"NGP/PVN-TML, NAGPUR, MAHARASHTRA",0,0.0,35.34,38.81,Ignore
"CHALLAPALLI, CHALLAPALLI, ANDHRA PRADESH",0,0.0,36.45,38.81,Ignore
"WARASEONI, WARASEONI, MADHYA PRADESH",0,0.0,11.76,38.78,Ignore
"BHELLA, BHELLA, ASSAM",0,0.0,26.77,38.74,Ignore
"SUJANPUR, PATHANKOT, PUNJAB",0,0.0,23.41,38.73,Ignore
"DEL/NDL-EHV, NEW DELHI, DELHI",0,0.0,25.19,38.71,Ignore
SELU,0,0.0,37.53,38.7,Ignore
PMPC,0,0.0,26.4,38.65,Ignore
"MANDIDEEP, MANDIDEEP, MADHYA PRADESH",0,0.0,19.07,38.58,Ignore
KHARADI - ETAIL,0,0.0,24.71,38.58,Ignore
GBTE,0,0.0,24.48,38.53,Ignore
"DEL/LDS, NEW DELHI, DELHI",0,0.0,22.52,38.5,Ignore
NOIDA E-TAIL AGENT,0,0.0,22.55,38.49,Ignore
SAHARSA,0,0.0,18.24,38.46,Ignore
VISAKHAPATANAM,0,0.0,22.38,38.45,Ignore
CBVN,0,0.0,26.43,38.38,Ignore
"CAR/NGN, CHANDIGARH, CHANDIGARH",0,0.0,13.28,38.33,Ignore
"CHINNAMANDAM, RAYACHOTY, ANDHRA PRADESH",0,0.0,28.18,38.32,Ignore
GAUE,0,0.0,26.67,38.31,Ignore
BANDIKUI,0,0.0,38.22,38.22,Ignore
"BOKCHORA, BOKCHORA, WEST BENGAL",0,0.0,38.21,38.21,Ignore
ELASTICRUNPADMARAONAGARODH_HYD,0,0.0,27.99,38.18,Ignore
"DEL/NFG, NEW DELHI, DELHI",0,0.0,26.75,38.15,Ignore
NADIAD,0,0.0,23.1,38.11,Ignore
TUMAKURU,0,0.0,19.48,38.09,Ignore
BARMER,0,0.0,31.0,38.01,Ignore
NSK CIDCO SERVICE CENTRE,0,0.0,22.73,38.01,Ignore
JPNG,0,0.0,18.85,37.89,Ignore
KALOOR,0,0.0,28.2,37.85,Ignore
"RUDRUR, BODHAN, TELANGANA",0,0.0,37.85,37.85,Ignore
"MAA/NAM-EHV, CHENNAI, TAMIL NADU",0,0.0,22.51,37.82,Ignore
SAGWARA,0,0.0,31.28,37.79,Ignore
DUNGARPUR H.O,0,0.0,35.48,37.78,Ignore
DINAHATA,0,0.0,25.35,37.77,Ignore
ANTARIKSH BHAVAN,0,0.0,8.71,37.76,Ignore
BBNE,0,0.0,26.84,37.75,Ignore
"MAA/TIRUVOTTIYUR-TML, CHENNAI, TAMIL NADU",0,0.0,23.37,37.71,Ignore
DHENKANAL,0,0.0,23.23,37.65,Ignore
SHAHPURA,0,0.0,25.25,37.54,Ignore
"VPT/MWD, VISAKHAPATNAM, ANDHRA PRADESH",0,0.0,24.28,37.52,Ignore
RAM MURTHY NAGAR,0,0.0,20.75,37.48,Ignore
"ABOHAR, ABOHAR, PUNJAB",0,0.0,8.65,37.47,Ignore
"KOT ISE KHAN, MOGA, PUNJAB",0,0.0,25.41,37.44,Ignore
"LALCHOWK, LAL CHOWK, JAMMU AND KASHMIR",0,0.0,27.65,37.42,Ignore
"WAGHOLI, PUNE, MAHARASHTRA",0,0.0,28.71,37.38,Ignore
"SAKINAKA, MUMBAI, MAHARASHTRA",0,0.0,22.46,37.38,Ignore
ANNA NAGAR,0,0.0,23.98,37.35,Ignore
NIMBAHERA S.O,0,0.0,28.26,37.32,Ignore
PALANPUR,0,0.0,15.31,37.28,Ignore
LODHIPURHUB_MRD MORADABAD,0,0.0,37.28,37.28,Ignore
TINDIVANAM,0,0.0,24.64,37.27,Ignore
HAWAMAHALHUB_JAI,0,0.0,20.9,37.25,Ignore
BENGALURU - BLR,0,0.0,14.98,37.24,Ignore
KAVUNDAMPLAYAM,0,0.0,27.88,37.2,Ignore
"MAA/ADY-TML, CHENNAI, TAMIL NADU",0,0.0,23.38,37.2,Ignore
"KHANDWA, KHANDWA, MADHYA PRADESH",0,0.0,21.76,37.19,Ignore
HOWRAH SALKIA,0,0.0,23.86,37.14,Ignore
"TRV/TRV, TRIVANDRUM, KERALA",0,0.0,11.57,37.12,Ignore
"HAMIRPUR, HAMIRPUR, HIMACHAL PRADESH",0,0.0,20.64,37.08,Ignore
BARAN,0,0.0,37.07,37.07,Ignore
KARJAT,0,0.0,26.28,37.07,Ignore
KANPUR OFFICE,0,0.0,21.07,37.02,Ignore
KORAPUT,0,0.0,21.3,37.02,Ignore
"CHILAKALURIPETA, CHILAKALURIPETA, ANDHRA PRADESH",0,0.0,37.0,37.0,Ignore
TALEGAON PUD CENTRE,0,0.0,5.46,37.0,Ignore
"RAJARHAT, RAJARHAT, WEST BENGAL",0,0.0,36.96,36.96,Ignore
GUMTI HUB,0,0.0,4.96,36.95,Ignore
"KASARGOD, KERALA, IN",0,0.0,36.94,36.94,Ignore
YLKA,0,0.0,24.96,36.88,Ignore
"PORVORIM, PORVORIM, GOA",0,0.0,28.32,36.85,Ignore
MUMBAI NORTH WAREHOUSE,0,0.0,32.46,36.85,Ignore
PADAGHA,0,0.0,36.02,36.84,Ignore
"VRINADAVAN LKO, LUCKNOW, UTTAR PRADESH",0,0.0,36.76,36.83,Ignore
"DEL/LPN, NEW DELHI, DELHI",0,0.0,21.73,36.82,Ignore
KASHIPURHUB_KAS KASHIPUR,0,0.0,5.47,36.74,Ignore
"VISAKHAPATNAM, ANDHRA PRADESH, IN",0,0.0,18.48,36.71,Ignore
CUNNINGHAM,0,0.0,24.13,36.67,Ignore
PICNIC GARDEN,0,0.0,26.05,36.61,Ignore
DHARAMSHALA,0,0.0,24.78,36.6,Ignore
DIMAPUR,0,0.0,23.43,36.56,Ignore
ELASTICRUNVISAKHAPATNAMSPLITODH_VTZ VISAKHAPATNAM,0,0.0,4.56,36.53,Ignore
"NGP/TEX, NAGPUR, MAHARASHTRA",0,0.0,24.22,36.5,Ignore
"SAMBALPUR, ODISHA, IN",0,0.0,36.48,36.48,Ignore
AKBARPUR KANPUR DEHAT,0,0.0,28.35,36.46,Ignore
SITAPUR,0,0.0,21.46,36.44,Ignore
OKHLA E-TAIL DELIVERY,0,0.0,21.26,36.42,Ignore
"YAMUNANAGAR, YAMUNANAGAR, HARYANA",0,0.0,28.53,36.35,Ignore
"GORAKHNATH, GORAKHPUR, UTTAR PRADESH",0,0.0,32.67,36.34,Ignore
WADRAFNAGAR,0,0.0,36.27,36.27,Ignore
"PNQ/NGD, PUNE, MAHARASHTRA",0,0.0,14.84,36.27,Ignore
DEOBAND,0,0.0,24.75,36.26,Ignore
KINWAT,0,0.0,36.23,36.23,Ignore
GHAZIABAD GT ROAD,0,0.0,21.9,36.23,Ignore
"KNP IIT, KANPUR, UTTAR PRADESH",0,0.0,36.22,36.22,Ignore
OM STORE NEW DELHI,0,0.0,36.08,36.08,Ignore
MAU,0,0.0,9.28,36.04,Ignore
PANJIM,0,0.0,10.47,35.96,Ignore
OKHLA,0,0.0,11.08,35.95,Ignore
"NALAGARH, BADDI, HIMACHAL PRADESH",0,0.0,19.79,35.92,Ignore
ANUPPUR,0,0.0,18.76,35.9,Ignore
SAGAR,0,0.0,19.22,35.88,Ignore
SENAPATI BAPAT ROAD,0,0.0,22.58,35.87,Ignore
"JAGDALPUR, JAGDALPUR, CHHATTISGARH",0,0.0,17.86,35.82,Ignore
"PURSOTAMPUR, PURSHOTAMPUR, ORISSA",0,0.0,35.82,35.82,Ignore
MARANDA,0,0.0,26.11,35.8,Ignore
"MOOLAPALAYAM, ODDANCHATRAM, TAMIL NADU",0,0.0,32.85,35.79,Ignore
DARTPLUS GOPINATH,0,0.0,28.48,35.78,Ignore
VIJAY,0,0.0,21.32,35.74,Ignore
"ALIPURDUAR COURT, ALIPURDUAR, WEST BENGAL",0,0.0,35.72,35.72,Ignore
AIZAWL,0,0.0,26.16,35.71,Ignore
DULIAJAN,0,0.0,35.71,35.71,Ignore
SUFDAR JUNG (SJEX),0,0.0,26.78,35.66,Ignore
"AKLUJ, AKLUJ, MAHARASHTRA",0,0.0,25.23,35.65,Ignore
"RAJGURUNAGAR, RAJGURUNAGAR, MAHARASHTRA",0,0.0,28.38,35.62,Ignore
"KISHANGANJ BH, KISHANGANJ, WEST BENGAL",0,0.0,35.6,35.6,Ignore
ISHU GENRAL STORE GAUTAM BUDDHA NAGAR,0,0.0,35.59,35.59,Ignore
BAREJA SERVICE CENTRE,0,0.0,9.93,35.58,Ignore
SINGRAULI,0,0.0,17.61,35.55,Ignore
TIKAMGARH,0,0.0,24.67,35.55,Ignore
ELASTICRUNKATTEDANODH_HYD,0,0.0,35.5,35.5,Ignore
"DELHI, DL, IN",0,0.0,5.46,35.48,Ignore
"DEL/ANG, DELHI NCR, DELHI",0,0.0,21.93,35.45,Ignore
SURADAHUB_SRD CHATRAPUR,0,0.0,35.41,35.41,Ignore
GOVINDPURA E TAIL DELIVER,0,0.0,23.4,35.38,Ignore
"VPT/SVP, VISAKHAPATNAM, ANDHRA PRADESH",0,0.0,22.83,35.37,Ignore
VELDA,0,0.0,35.25,35.25,Ignore
GULABPURA,0,0.0,29.88,35.25,Ignore
HUBLI SERVICE CENTRE,0,0.0,10.53,35.25,Ignore
SAMBALPUR,0,0.0,17.67,35.2,Ignore
BSGD,0,0.0,23.97,35.15,Ignore
"FBD/BLG, DELHI NCR, DELHI",0,0.0,20.93,35.14,Ignore
QUEPEM,0,0.0,25.35,35.12,Ignore
"DESAIGAON, DESAIGAON, MAHARASHTRA",0,0.0,26.8,35.12,Ignore
"NIZAMABAD, NIZAMABAD, TELANGANA",0,0.0,8.96,35.11,Ignore
GADWAL,0,0.0,35.1,35.1,Ignore
"PUTHANATHANI, PUTHANATHANI, KERALA",0,0.0,35.09,35.09,Ignore
VIRUDHACHALAM,0,0.0,24.58,35.09,Ignore
"PAT/PCK, PATNA, BIHAR",0,0.0,22.83,35.08,Ignore
DODBALLAPURA,0,0.0,24.02,35.07,Ignore
MOGA,0,0.0,19.6,35.07,Ignore
NAHARLAGUN,0,0.0,24.66,34.99,Ignore
GREATER NOIDA (GRND),0,0.0,27.89,34.95,Ignore
KOTDWARA,0,0.0,19.4,34.92,Ignore
"BOM/WRL, MUMBAI, MAHARASHTRA",0,0.0,20.07,34.89,Ignore
HOSHANGABAD,0,0.0,17.98,34.89,Ignore
FKL_JKS,0,0.0,1.99,34.88,Ignore
"BLR/HOS-TML, BANGALORE, KARNATAKA",0,0.0,8.72,34.86,Ignore
"IDR/IDR, INDORE, MADHYA PRADESH",0,0.0,7.34,34.86,Ignore
SUNNY TELCOM HASSMAT GHAZIABAD,0,0.0,34.81,34.81,Ignore
"JMU/JNP, JAMMU, JAMMU AND KASHMIR",0,0.0,34.77,34.79,Ignore
BHIWADI - BHD,0,0.0,16.91,34.77,Ignore
"PATIALA, PATIALA, PUNJAB",0,0.0,23.78,34.76,Ignore
ANKLESHWAR,0,0.0,20.64,34.75,Ignore
"SORAB, SORAB, KARNATAKA",0,0.0,34.75,34.75,Ignore
"MDU/PDR-TML, MADURAI, TAMIL NADU",0,0.0,34.74,34.74,Ignore
CTHR,0,0.0,24.62,34.74,Ignore
"AMBALA, AMBALA, HARYANA",0,0.0,21.56,34.72,Ignore
"DEL/BDR, NEW DELHI, DELHI",0,0.0,23.84,34.71,Ignore
JALANDHAR - JRD,0,0.0,20.58,34.7,Ignore
KARJAN,0,0.0,24.12,34.69,Ignore
"SANTIPUR1, SANTIPUR, WEST BENGAL",0,0.0,25.47,34.65,Ignore
MUMBAI KANDIVALI WAR,0,0.0,29.22,34.65,Ignore
"KASEGAON, KASEGAON, MAHARASHTRA",0,0.0,34.58,34.58,Ignore
COD CPU VI,0,0.0,29.1,34.58,Ignore
"BOM/MAZ-TML, MUMBAI, MAHARASHTRA",0,0.0,20.76,34.56,Ignore
ELASTICRUNJARIPATKAODH_NAG,0,0.0,34.55,34.55,Ignore
"NARASARAOPET1, NARASARAOPET, ANDHRA PRADESH",0,0.0,34.52,34.52,Ignore
PATAN,0,0.0,16.41,34.51,Ignore
"PALAMPUR, PALAMPUR, HIMACHAL PRADESH",0,0.0,9.6,34.5,Ignore
"GANNAVARAM, GANNAVARAM, ANDHRA PRADESH",0,0.0,34.45,34.45,Ignore
"MANMAD, MANMAD, MAHARASHTRA",0,0.0,34.45,34.45,Ignore
"BILASPUR, BILASPUR, CHHATTISGARH",0,0.0,28.45,34.44,Ignore
UDAIPUR E-TAIL,0,0.0,24.77,34.43,Ignore
JVKN,0,0.0,20.25,34.43,Ignore
DURGAPUR,0,0.0,24.23,34.37,Ignore
"MAIRANGBAH, MAIRANGBAH, MEGHALAYA",0,0.0,28.86,34.37,Ignore
"VIRAR, MAHARASHTRA, IN",0,0.0,27.33,34.36,Ignore
"BLR/RRN-TML, BANGALORE, KARNATAKA",0,0.0,30.93,34.35,Ignore
MANN,0,0.0,5.95,34.33,Ignore
"MAA/CHL-TML, CHENNAI, TAMIL NADU",0,0.0,26.81,34.31,Ignore
"SILIGURI, SILIGURI, WEST BENGAL",0,0.0,23.41,34.31,Ignore
"DEL/CDL-EHV, NEW DELHI, DELHI",0,0.0,12.46,34.27,Ignore
AHD COD CENTER,0,0.0,21.38,34.26,Ignore
PALLIPALAYAM,0,0.0,30.3,34.25,Ignore
"ETAWAH, ETAWAH, UTTAR PRADESH",0,0.0,34.24,34.24,Ignore
DATTA NAGAR,0,0.0,25.88,34.23,Ignore
COOCH BEHAR,0,0.0,33.89,34.23,Ignore
TARDEO,0,0.0,27.57,34.21,Ignore
INDIRAPURAMHUB_DEL,0,0.0,19.26,34.19,Ignore
BUNDI,0,0.0,25.13,34.18,Ignore
"BASTA, BASTA, ORISSA",0,0.0,34.18,34.18,Ignore
SOHAM PATEL KIRANA SURAT,0,0.0,34.17,34.17,Ignore
"BHILAI, BHILAI, CHHATTISGARH",0,0.0,7.85,34.14,Ignore
SKHX,0,0.0,17.97,34.13,Ignore
NEW TOWN,0,0.0,22.93,34.12,Ignore
SILIGURI,0,0.0,16.69,34.1,Ignore
TRIMURTINAGAR HUB,0,0.0,34.06,34.06,Ignore
"KAMPAGARH, KAMPAGADA, ORISSA",0,0.0,27.37,34.04,Ignore
"IRINGATH, KOZHIKODE, KERALA",0,0.0,34.04,34.04,Ignore
MBY E-TAIL CENTRE,0,0.0,23.16,34.03,Ignore
KAISARGANJ,0,0.0,20.62,34.03,Ignore
"HYD/BJH, HYDERABAD, TELANGANA",0,0.0,27.73,34.02,Ignore
"SATNA, SATNA, MADHYA PRADESH",0,0.0,13.32,34.02,Ignore
"HYD/BWN, HYDERABAD, TELANGANA",0,0.0,20.56,33.98,Ignore
"MUDIGERE, MUDIGERE, KARNATAKA",0,0.0,33.94,33.94,Ignore
BICHOLIM,0,0.0,19.15,33.92,Ignore
THANE - THN,0,0.0,33.9,33.9,Ignore
"DEL/GDP, NEW DELHI, DELHI",0,0.0,23.96,33.9,Ignore
"NAINA DEVI, NAINA DEVI, HIMACHAL PRADESH",0,0.0,33.89,33.89,Ignore
"HOSANAGARA, HOSANAGARA, KARNATAKA",0,0.0,33.89,33.89,Ignore
GAUCHAR,0,0.0,21.39,33.88,Ignore
"RSC/BANSWARA, BANSWARA, RAJASTHAN",0,0.0,33.88,33.88,Ignore
CHBR,0,0.0,9.3,33.88,Ignore
SABG,0,0.0,0.56,33.81,Ignore
"SARAIMEER, SARAIMEER, UTTAR PRADESH",0,0.0,33.81,33.81,Ignore
"SUKMA, SUKMA, CHHATTISGARH",0,0.0,33.7,33.7,Ignore
VASM,0,0.0,6.73,33.7,Ignore
"MALEGAON, MALEGAON, MAHARASHTRA",0,0.0,32.44,33.69,Ignore
CHIKHLI (ROMH),0,0.0,19.09,33.68,Ignore
JAMNAGAR,0,0.0,17.35,33.63,Ignore
CHSK,0,0.0,9.12,33.63,Ignore
EAST GODAVARI,0,0.0,15.64,33.59,Ignore
KAVURIHILLS HUB,0,0.0,2.22,33.59,Ignore
PNPN,0,0.0,22.37,33.58,Ignore
DIBRUGARH,0,0.0,27.27,33.58,Ignore
"MAA/MAD-TML, CHENNAI, TAMIL NADU",0,0.0,23.89,33.56,Ignore
INDRAPRAKASH BLDG,0,0.0,20.22,33.53,Ignore
PRGN,0,0.0,23.63,33.53,Ignore
ANGAMALLY,0,0.0,23.48,33.53,Ignore
OKHL,0,0.0,3.57,33.53,Ignore
"BICHOLIM GOA, BICHOLIM, GOA",0,0.0,27.55,33.51,Ignore
"THN/GHO, THANE, MAHARASHTRA",0,0.0,23.73,33.5,Ignore
POND,0,0.0,27.45,33.45,Ignore
RAIPUR PUD,0,0.0,28.58,33.45,Ignore
"GADCHIROLI, GADCHIROLI, MAHARASHTRA",0,0.0,27.4,33.44,Ignore
"DHAR, DHAR, MADHYA PRADESH",0,0.0,33.43,33.43,Ignore
TNAGAR SERVICE CENTRE,0,0.0,22.08,33.42,Ignore
SURATGARH,0,0.0,18.08,33.4,Ignore
"MATHURA, MATHURA, UTTAR PRADESH",0,0.0,19.8,33.39,Ignore
"DINDIGUL/EAST-TML, DINDIGUL, TAMIL NADU",0,0.0,14.02,33.35,Ignore
KUKATPALLY Y JUNCTION,0,0.0,29.1,33.32,Ignore
"DIMAPUR, DIMAPUR, NAGALAND",0,0.0,30.15,33.29,Ignore
"JANGAREDDIGUDEM, ANDHRA PRADESH, IN",0,0.0,33.29,33.29,Ignore
"CORTALIM VERNA, GOA, GOA",0,0.0,33.27,33.27,Ignore
"GANDHINAGAR, GANDHINAGAR, GUJARAT",0,0.0,32.62,33.27,Ignore
"OTTUPARA, TRICHUR, KERALA",0,0.0,33.2,33.2,Ignore
"UNJHA, UNJHA, GUJARAT",0,0.0,33.19,33.19,Ignore
KANIMANGALAM,0,0.0,24.98,33.18,Ignore
FAR COD PROCESSING CENTRE,0,0.0,13.88,33.18,Ignore
"RTO/RJT, JAIPUR, RAJASTHAN",0,0.0,21.95,33.13,Ignore
"NARAYANPUR CG, NARAYANPUR CG, CHHATTISGARH",0,0.0,24.94,33.11,Ignore
JAYANAGAR PUD,0,0.0,23.83,33.09,Ignore
"HYD/CHA, HYDERABAD, TELANGANA",0,0.0,31.88,33.03,Ignore
"DEL/SKR, NEW DELHI, DELHI",0,0.0,28.29,33.03,Ignore
MUMBAI AIRPORT WAREHOUSE,0,0.0,25.48,33.01,Ignore
BDQH,0,0.0,23.23,33.01,Ignore
"PATHSALA, BARPETA, ASSAM",0,0.0,27.3,32.98,Ignore
PILERU,0,0.0,26.22,32.95,Ignore
WARJE,0,0.0,10.44,32.94,Ignore
"TRV/KNA, TRIVANDRUM, KERALA",0,0.0,32.57,32.92,Ignore
BHADRAWATI,0,0.0,27.5,32.9,Ignore
KOTA HUB KOTA,0,0.0,4.6,32.89,Ignore
WAIDHAN,0,0.0,28.98,32.89,Ignore
"DURGAPUR, DURGAPUR, WEST BENGAL",0,0.0,32.88,32.88,Ignore
NAYA RAIPUR,0,0.0,7.97,32.87,Ignore
"LONAND, LONAND, MAHARASHTRA",0,0.0,32.86,32.86,Ignore
"SHL/NGR, SHILLONG, MEGHALAYA",0,0.0,29.88,32.83,Ignore
"MYS/CTY, MYSORE, KARNATAKA",0,0.0,32.83,32.83,Ignore
"KUSHINAGAR, KASYA, UTTAR PRADESH",0,0.0,26.21,32.82,Ignore
"NBM/NBM, NAVI MUMBAI, MAHARASHTRA",0,0.0,24.41,32.78,Ignore
SARKAGHAT,0,0.0,24.32,32.78,Ignore
"HARAPANAHALLI, HARAPANAHALLI, KARNATAKA",0,0.0,23.33,32.77,Ignore
NAVIMUMBAI ETAIL W/HOUSE,0,0.0,28.3,32.74,Ignore
"RAMTEK, RAMTEK, MAHARASHTRA",0,0.0,32.7,32.7,Ignore
HINJEWADI SERVICE CENTRE,0,0.0,25.28,32.66,Ignore
JOWAI,0,0.0,25.34,32.66,Ignore
KASARGOD,0,0.0,25.26,32.65,Ignore
WALHEKARWADI,0,0.0,23.14,32.64,Ignore
KALLAKURCHI,0,0.0,32.63,32.63,Ignore
TIRUPUR PALADAM ROAD,0,0.0,32.63,32.63,Ignore
BELAPUR,0,0.0,5.93,32.63,Ignore
VENKATAGIRI,0,0.0,32.62,32.62,Ignore
ALUWA,0,0.0,20.31,32.61,Ignore
VIGHYAN NAGAR COD CENTRE,0,0.0,25.47,32.61,Ignore
"ALIPURA, BANGALORE, KARNATAKA",0,0.0,32.61,32.61,Ignore
"BHINGAR, BHINGAR, MAHARASHTRA",0,0.0,28.03,32.58,Ignore
"VARANASI, VARANASI, UTTAR PRADESH",0,0.0,28.37,32.57,Ignore
IDRH,0,0.0,22.58,32.57,Ignore
GHANPUR REACH,0,0.0,23.89,32.56,Ignore
"NARNAUL1, NARNAUL, HARYANA",0,0.0,32.56,32.56,Ignore
BALARAMAPURAM,0,0.0,28.88,32.52,Ignore
"BOITA, BAITA BAZAR, WEST BENGAL",0,0.0,32.51,32.51,Ignore
"AMD/LH1, AHMEDABAD, GUJARAT",0,0.0,20.58,32.5,Ignore
"SOLAN, SOLAN, HIMACHAL PRADESH",0,0.0,32.49,32.49,Ignore
DEORIA,0,0.0,31.59,32.49,Ignore
PHASE3NOIDA HUB,0,0.0,32.48,32.48,Ignore
"RAJATALAB HP, RAJATALAB HP, HIMACHAL PRADESH",0,0.0,32.46,32.46,Ignore
RUDRAPUR HUB,0,0.0,7.45,32.46,Ignore
SIRICILLA,0,0.0,29.6,32.45,Ignore
"THODUPUZHA, THODUPUZHA, KERALA",0,0.0,32.44,32.44,Ignore
"KASGANJ1, KASGANJ, UTTAR PRADESH",0,0.0,19.85,32.42,Ignore
"BOM/FRT, MUMBAI, MAHARASHTRA",0,0.0,28.13,32.42,Ignore
PAKHANJUR,0,0.0,28.83,32.41,Ignore
"RAJKOT/OMN, RAJKOT, GUJARAT",0,0.0,32.41,32.41,Ignore
KAKINADA E-TAIL CENTRE,0,0.0,25.96,32.4,Ignore
GRND,0,0.0,17.62,32.4,Ignore
"BHARUCH, BHARUCH, GUJARAT",0,0.0,32.38,32.38,Ignore
MARAIMALAI NAGAR,0,0.0,13.35,32.37,Ignore
"BURDWAN1, BURDWAN, WEST BENGAL",0,0.0,29.11,32.36,Ignore
WAZIRPUR,0,0.0,13.14,32.31,Ignore
"KCP/SA-ORK, KANCHIPURAM, TAMIL NADU",0,0.0,32.3,32.3,Ignore
"BAHARAMPORE, MURSHIDABAD, WEST BENGAL",0,0.0,13.32,32.29,Ignore
"RATLAM, RATLAM, MADHYA PRADESH",0,0.0,32.29,32.29,Ignore
"NASHIK, NASHIK, MAHARASHTRA",0,0.0,19.63,32.28,Ignore
PATHANAMTHITTA,0,0.0,15.57,32.26,Ignore
"SBP/BRA-TML, SAMBALPUR, ORISSA",0,0.0,31.55,32.25,Ignore
"CHIKODI, CHIKODI, KARNATAKA",0,0.0,32.2,32.2,Ignore
MANDI NER CHOWK,0,0.0,25.03,32.19,Ignore
GURUVAYUR,0,0.0,24.55,32.19,Ignore
GREATERNOIDA HUB,0,0.0,4.61,32.17,Ignore
CTMK,0,0.0,18.54,32.13,Ignore
SECUNDRABAD,0,0.0,0.53,32.13,Ignore
PAYYOLI,0,0.0,25.1,32.13,Ignore
"KALBURAGI, KALABURAGI, KARNATAKA",0,0.0,13.94,32.12,Ignore
VADODARA,0,0.0,11.71,32.11,Ignore
"BHIMAVARAM, BHIMAVARAM, ANDHRA PRADESH",0,0.0,18.75,32.11,Ignore
"RASIPURAM, NAMAKKAL, TAMIL NADU",0,0.0,23.73,32.1,Ignore
SIDHI MASTER KIRANA KAKINADA,0,0.0,15.22,32.1,Ignore
"BARBIL, BARBIL, ORISSA",0,0.0,32.1,32.1,Ignore
"SHILLONG, SHILLONG, MEGHALAYA",0,0.0,28.48,32.1,Ignore
